Comment,Designator,Footprint,LCSC Part #
,JP_ENABLE,1X02,
,JP3,2X02,
,ULN2,SO18L,C9683
1k,R1 R125 R126 R127 R128 R129 R130 R139,R0603,C21190
1uf,C4,C0805,C15849
2.2k,R131,R0603,C4190
10k,R2 R133 R134 R135 R136 R137,R0603,C25804
10uf,C1 C2 C3 C5,C0603,C19702
500ma Fuse,F2,FUSC4632X160,C70113
1500ma Fuse,F1,FUSC4632X160,C78695
110990030,J1,SEEED_110990030,
B4B-PH-K,BUTTON_BLUE BUTTON_ENABLE BUTTON_GREEN BUTTON_RED BUTTON_WHITE BUTTON_YELLOW,B4B-PH-K,
CON_POWER,POWER_IN,MKDSN1 5/4-5 08,
ESP32DEVKITV1,U$1,ESP32-DEVKITV1,
LD117AS12TR,IC2,SOT223,C6187
MAX488CSA,IC1,SO08,C179693
MOMENTARY-SWITCH-SPST-PTH-6.0MM,S1 S2 S3 S4 S5,TACTILE_SWITCH_PTH_6.0MM,
RJ45,J2,RJ45-8,
R_1K_0603,R132,R0603,C21190
R_56R_0603,R221 R222,R0603,C25196
R_82R_0603,R224,R0603,C23255
R_270R_0603,R220 R223,R0603,C22966
blue,D83 D88 D93,LED-0603,C72041
green,D82 D87 D92,LED-0603,C72043
red,D81 D86 D91,LED-0603,C2286
white,D1 D84 D89,LED-0603,C2290
yellow,D85 D90 D94,LED-0603,C72038
